"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"823.8","017038836","Monograph","Language material ; Text","Volume","GBB514864","","9781846558610 ; 9781846558627","Douglas-Fairhurst, Robert","","person","author","Douglas-Fairhurst, Robert, author [person]","The story of Alice : Lewis Carroll and the secret history of Wonderland","","","","England","London","Harvill Secker","2015","","488 pages, black and white illustrations, 25 cm","YC.2015.a.13589","Carroll, Lewis, 1832-1898--Characters--Alice ; Carroll, Lewis, 1832-1898--Themes, motives ; Authors, English--19th century--Biography ; Hargreaves, Alice Pleasance Liddell, 1852-1934 ; Alice, (Fictitious character from Carroll) ; Carroll, Lewis, 1832-1898--Friends and associates","Biography","English","","",""
"823.8","017039691","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB515719","","9781473510999","Douglas-Fairhurst, Robert","","person","author","Douglas-Fairhurst, Robert, author [person]","The story of Alice : Lewis Carroll and the secret history of Wonderland","","","","England","London","Vintage Digital","2015","","1 online resource","ELD.DS.214193","Carroll, Lewis, 1832-1898--Characters--Alice ; Carroll, Lewis, 1832-1898--Themes, motives ; Children in literature ; Hargreaves, Alice Pleasance Liddell, 1852-1934 ; Alice, (Fictitious character from Carroll) ; Carroll, Lewis, 1832-1898--Friends and associates","","English","Additional physical form: Print version. 9781846558610","",""
"823.8","017041420","Monograph","Language material ; Still image ; Text","Volume","GBB6E7244","","9780712356008","Carroll, Lewis","1832-1898","person","author ; illustrator","Brown, Sally, 1950 May 14-, writer [person] ; Carroll, Lewis, 1832-1898, author ; illustrator [person]","Alice's adventures under ground : the original manuscript","Alice's adventures in Wonderland","","","England","London","British Library","2014","","29 pages, 90 pages of plates, illustrations (black and white and colour), 20 cm","YC.2016.a.11083","Carroll, Lewis, 1832-1898--Criticism and interpretation ; Carroll, Lewis, 1832-1898--Manuscripts","Manuscript","English","Originally published 2008, reprinted with new jacket 2014","",""
"823.8","017073870","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB522146","","9781509805532","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","London","Macmillan","2015","Little folks' edition","1 online resource, illustrations","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Additional physical form: Print version. 9781447277781","",""
"823.8","017080788","Monograph","Language material ; Still image ; Text","Volume","GBB523794","","9781782010968","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, writer [person] ; Williams, Nicholas, 1942-, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Der an gweder meras ha myns a gafas Alys ena","Through the looking glass. Cornish","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","","168 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)","Children's fiction","Cornish ; English","Translated from the English","",""
"823.8","017112616","Monograph","Language material ; Text","Volume","GBB536867","","9781782011026","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Kent, Alan M., translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's ventures in Wunderland","Alices's adventures in Wonderland. English (Cornu-English)","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","First edition","xiv, 125 pages, 22 cm","H.2017/.5255","Alice, (Fictitious character from Carroll)","Children's fiction","English","'Cornu-English is that form of English spoken by the majority of native residents in Cornwall' -- page v ; Translated from the English","",""
"823.8","017129990","Monograph","Language material ; Still image ; Text","Volume","GBB6K8606","","9781909115989","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","Poole","Planet","2015","","98 pages, colour illustrations, 27 cm","YKL.2017.b.61","Childrens stories ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","017153930","Monograph","Language material ; Text","Volume","GBB545120","","9780753729687","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice in Wonderland","Alice's adventures in Wonderland","Classic works","","England","London","Bounty","2015","","1 volume, 20 cm","","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","","",""
"823.8","017169355","Monograph","Language material ; Text","Volume","GBB700095","","9780141361345","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in wonderland","","","","United Kingdom","","Puffin","2015","","177 pages, black and white illustrations, 23 cm","YKL.2017.a.272","","","English","","",""
"823.8","017182501","Monograph","Language material ; Still image ; Text","Volume","GBB556931","","9780143107620","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : and, Through the looking-glass and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","England","London","Penguin","2015","150th anniversary edition","xxii, 247 pages, illustrations, 21 cm","YKL.2017.a.8392","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","017182827","Monograph","Language material ; Text","Volume","GBB557257","","9780571323357","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Faber classics","","England","London","Faber & Faber","2015","","155 pages, 18 cm","YKL.2016.a.13931","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Originally published: London: Macmillan & Co, 1865","",""
"823.8","017183527","Monograph","Language material ; Still image ; Text","Volume","GBB557957","","9781447275992","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898 [person] ; Theaker, Harry G. [person] ; Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Wallis, Diz [person]","The complete Alice","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","England","London","Macmillan","2015","","xi, 466 pages, illustrations (black and white and colour), 28 cm","YKL.2016.b.2161","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Additional physical form: ebook version. 9781509811410","",""
"823.8","017350802","Monograph","Language material ; Still image ; Text","Volume","GBB562113","","9781405279604","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","London","Egmont","2015","","160 pages, black and white illustrations, 21 cm","YKL.2016.a.2522","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Egmont classics","",""
"823.8","017351236","Monograph","Language material ; Still image ; Text","Volume","GBB562547","","9781782010630","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Braman, Joan, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Di avantures fun Alis in Vunderland","Alice's adventures in Wonderland. Yiddish","","","Ireland","Portlaoise County Laois","Evertype","2015","First edition","vii, 137 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)","Children's fiction","English ; Yiddish","","",""
"823.8","017367373","Monograph","Language material ; Still image ; Text","Volume","GBB565676","","9781782010876","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Halfpenny, Cameron, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Ahlice's adveenturs in Wunderlaant","Alice's adventures in Wonderland. Scots (Border Scots)","","","Ireland","Portlaoise County Laois","Evertype","2015","Firrst edition = First edition","viii, 124 pages, illustrations, 22 cm","YKL.2017.a.630","Alice, (Fictitious character from Carroll)","Children's fiction","Scots","","",""
"823.8","017372205","Monograph","Language material ; Still image ; Text","Volume","GBB567355","","9781435160736","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : and, Through the looking glass","Through the looking glass ; Works. Selections","Barnes & Noble leatherbound children's classics","","United States of America","New York","Barnes & Noble","2015","","289 pages, colour illustrations, 21 cm","YKL.2016.a.6168","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","017390863","Monograph","Language material ; Still image ; Text","Volume","GBB574655","","9781782010975","Carroll, Lewis","1832-1898","person","author","Sewell, Byron W., illustrator [person] ; Carlton, David Alexander, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Balþos gadedeis Aþalhaidais in Sildaleikalanda","Alice's adventures in Wonderland. Gothic","","","Ireland","Portlaoise County Laois","Evertype","2015","Frumists utmeleins = First edition","xiii, 127 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)","Children's fiction","English ; Gothic","First edition published May 2015; reprinted with corrections July 2015 ; Translated from the English","",""
"823.8","017391450","Monograph","Language material ; Still image ; Text","Volume","GBB575242","","9781782011057","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Goodacre, Selwyn H. (Selwyn Hugh), 1940-, writer [person] ; Carroll, Lewis, 1832-1898, author [person]","Elucidating Alice : a textual commentary on Alice's adventures in Wonderland","Alice's adventures in Wonderland","","","Ireland","Portlaoise County Laois","Evertype","2015","First edition","xxxviii, 184 pages, illustrations, 22 cm","YC.2017.a.487","Carroll, Lewis, 1832-1898--Criticism, Textual","","English","'First edition May 2015; reprinted with corrections August 2015; reprinted with corrections September 2015'","",""
"823.8","017398965","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB578574","","9781509811410","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","The complete Alice : Alice's adventures in Wonderland and Through the looking-glass and what alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","England","London","Macmillan","2015","","1 online resource, illustrations","ELD.DS.109756","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Additional physical form: Print version. 9781447275992","",""
"823.8","017437016","Monograph","Language material ; Text","Volume","GBB590579","","9781631590757","Carroll, Lewis","1832-1898","person","author","D'Aquino, Andrea, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Classics reimagined","","United States of America","Beverly","Rockport","2015","","1 volume, 23 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","","",""
"823.8","017437446","Monograph","Language material ; Still image ; Text","Volume","GBB591009","","9781783701841","Carroll, Lewis","1832-1898","person","author","Ingpen, Robert, 1936-, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice through the looking-glass and what she found there","Alice through the looking-glass ; Through the looking-glass","","","England","Dorking, Surrey","Templar Publishing","2015","","192 pages, illustrations (black and white and colour), 25 cm","YKL.2016.a.1642","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","'Alice's adventures in Wonderland 150 years 1865-2015'--Sticker on dust jacket","",""
"823.8","017437751","Monograph","Language material ; Text","Volume","GBB591314","","9781843443971","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","Harpenden","Pulp! The Classics","2015","New edition","155 pages, illustrations, 18 cm","YKL.2017.a.7418","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","'PCT116'--Spine","",""
